name,addr,lat,lng
嘉藥,台南市仁德區保安里二仁路一段60號1樓,22.9244548,120.2231967
北安,台南市北區公園路599-11號,23.01461724,120.2129576
大欣,台南市北區和緯路五段76號,23.00602588,120.1843149
永勝,台南市永康區六合里中華二路320號1樓,23.00846049,120.2320479
新奇美,台南市永康區甲頂路18.20號一樓,23.02034691,120.2196009
常興,台南市仁德區中正路三段701號,22.99165141,120.255724
鹽水,台南市鹽水區中正路35號,23.31992255,120.2677273
鳳凰,台南市安南區北安路二段122號,23.02837382,120.2049301
仁興,台南市歸仁區南保里大德路307號,22.97365551,120.2880768
善和,台南市善化區坐駕里大成路319號,23.12973078,120.298226
郡豐,台南市安平區郡平路307號,22.98955453,120.1640722
仁義,台南市仁德區中正路二段1052號,22.96818348,120.2526802
群創三,台南市新市區環西路二段2號1樓(群創三廠),23.10160076,120.2753393
群創五,台南市新市區環西路二段2號1樓(群創五廠),23.10177143,120.2752596
安昌,台南市安南區塭南里安昌街101號,23.06952958,120.2187754
富里,台南市安南區安富里府安路五段154號155號156號,23.02277514,120.1982324
新黎明,台南市麻豆區興國路40-10號,23.18045406,120.2476379
鼎富,台南市關廟區南花里中正路881號,22.96189533,120.3315618
建平,台南市安平區建平七街689號,22.99011871,120.168858
荷韻,台南市白河區河東里9鄰冀萁湖122-35號,23.34183014,120.4388767
加賀,台南市歸仁區大廟里大廟一街1號,22.99709174,120.2771343
鼎利,台南市關廟區南雄路二段210號,22.96457227,120.328761
鼎亨,台南市東區德東街101號,22.96178746,120.2304403
永福,台南市中西區永福路二段65號1樓,22.99183286,120.2007691
府城,台南市安平區永華路二段532號,22.99083726,120.1738821
南站,台南市仁德區中洲里中洲1-15號1樓,22.90558509,120.2650832
小東,台南市東區小東路256號,22.99893779,120.23079
唯勝,台南市中西區民權路三段150號一樓,22.99728326,120.1960894
和慶,台南市安南區安中路一段701巷33.35號,23.04177004,120.1951169
長安營,台南市仁德區保仁路195號(營區內),22.95983459,120.2230036
喬興,台南市西港區慶安里新興街8-77.8-78號,23.1145777,120.20283
北園,"台南市北區北園街6號之6, 1、2樓",23.010057,120.2232989
F18,台南市安定區北園二路8號1樓,23.10432639,120.2477972
衛國,台南市東區林森路二段192巷24弄5號.7號,22.98901704,120.2253844
橋鈺,台南市永康區東橋七路369號1樓,23.02505364,120.2351904
安醫,台南市安南區州南里12鄰長和路二段66號B1,23.06414271,120.2231397
裕孝,台南市東區裕農路888號1樓,22.98972523,120.24338
金昇,台南市南區金華路二段341號,22.98556071,120.1917713
成商,台南市東區大學里勝利路118號1、2樓,22.99596096,120.2181992
台江,台南市安南區安中路二段140號1樓,23.04638702,120.1876963
上鈺,台南市南區大成路一段128號1、2樓,22.97502151,120.2001878
聖安,台南市安南區安中路六段850號1樓,23.06587435,120.1277368
天期,台南市安平區國平路198號1樓,22.98992916,120.1710832
三麗,台南市新化區協興里正新路305號1樓,23.03871786,120.3028306
明和,台南市南區中華西路一段89號,22.97748243,120.1845102
北站,台南市仁德區中洲里中洲1-16號1樓,22.90639019,120.2660087
華康,台南市永康區中華路8-7號1樓,22.99970496,120.2349107
台南蔡,台南市永康區中正南路628號,23.03818244,120.2336695
崇學,台南市東區崇善路168號,22.98055583,120.2232428
福耀,台南市東區崇明路377號377-1號,22.97503823,120.2225112
夢公園,台南市學甲區中山路187號1樓,23.23551374,120.1759854
新新樓,台南市東區東門里前鋒路16號1樓,22.98992048,120.2127581
高梓,台南市仁德區後璧里中正路二段387號,22.95312759,120.2518315
鼎鑫,台南市關廟區中山路二段27號1樓,22.95997089,120.3272433
新市,台南市新市區華興街48號1樓,23.07712522,120.2945367
長和,台南市安南區長和一街39號,23.06318088,120.2143734
工館,台南市永康區崑大路195號,22.99838855,120.2528862
東和,台南市東區東安路291號293號1樓,22.997682,120.2272092
安東,台南市安南區安和路一段308號1樓,23.03245258,120.2125092
崑教,台南市永康區崑大路195號,22.99838855,120.2528862
新大港,台南市北區大和里大港街140號1樓2樓,23.01343615,120.1899917
和順,台南市安南區安和路五段166號,23.06619054,120.2180048
佳里,台南市佳里區光復路197號197-1號,23.160096,120.1747401
公園,台南市北區公園路1072-1號2號3號,23.01843161,120.2158103
崇明,台南市東區林森路一段184號,22.98219152,120.2163095
長寧,台南市東區長榮路三段12號,22.99247754,120.2216416
武聖,台南市中西區武聖路47號49號,23.00544789,120.1922464
安中,台南市安南區安中路一段711號,23.0431589,120.1953376
仁德,台南市仁德區中山路501號,22.97119364,120.2550383
伍誼,台南市歸仁區復興路162之1號,22.96560427,120.2942042
一心,台南市東區中華東路一段24號,22.99700046,120.2344513
公平,台南市北區公園路694號,23.00846929,120.2101179
森田,台南市東區東門里東門路一段199號,22.98755744,120.2159888
柳營,台南市柳營區士林里柳營路二段1號3號,23.27695613,120.3123923
立人,台南市北區和順里西門路三段81號,23.00260651,120.2033897
嘉南,台南市仁德區二行里二仁路一段151號,22.92032398,120.2251844
六甲,台南市六甲區六甲里22鄰中正路552號,23.23083309,120.3516004
夏林,台南市南區夏林路134-1號134-2號,22.98160666,120.1949912
北門,台南市東區北門路一段310號,22.99631861,120.2120483
大恩,台南市南區大同路二段692號694號,22.96761875,120.2157712
新銀,台南市新營區中山路140號,23.3046197,120.3171173
玉山,台南市永康區永明街97號,23.02479411,120.2606592
隆田,台南市官田區隆田里14鄰文化街130號,23.195916,120.3182101
聖賢,台南市北區大豐里文賢路315號,23.00669173,120.1936113
玉井,台南市玉井區中正路54號,23.12397359,120.4605491
港龍,台南市安定區港南里163號,23.08941,120.23302
大橋,台南市永康區大橋里中華路747號,23.01820918,120.2266231
市醫,台南市東區崇德路685號687號,22.968819,120.2275319
麻佳,台南市麻豆區苓子林17-13號,23.184578,120.2346483
那菝,台南市新化區那菝林241號,23.03816,120.31094
古都,台南市東區仁和路133號,22.96952129,120.234306
騰揮,台南市歸仁區中正南路一段110號,22.96424068,120.2931613
超順,台南市學甲區中正路143號,23.23065811,120.1795616
慶安,台南市西港區慶安里新興街25-2號,23.12073513,120.201313
總安,台南市安南區安和路四段9號,23.05073127,120.2189993
本原,台南市安南區海佃路四段2號,23.05373935,120.1782538
新進,台南市新營區中正路33之14號15號,23.31269008,120.3166906
千福,台南市中西區大涼里中華西路二段36號,22.99285096,120.1869387
友愛,台南市中西區友愛街197之199號,22.991903,120.1975545
崇道,台南市東區崇善路571號,22.97251228,120.2298001
威保,台南市關廟區南雄路一段829號,22.95215371,120.3306045
文炳,台南市永康區南台街1號,23.02232415,120.2249907
德南,台南市仁德區中正路二段224號,22.94870256,120.2513589
鈺華,台南市永康區崑南里37鄰大仁街220號,23.00595609,120.2582279
國銨,台南市安南區國安街111號113號,23.022295,120.1888654
永復,台南市永康區復華里復華一街2號,23.00539283,120.2403472
立興,台南市南區灣裡路265號,22.92668271,120.1821987
億載,台南市東區大同路二段95-3號,22.97869819,120.2133778
尚頂,台南市永康區中正南路314號,23.03123739,120.2265588
開山,台南市中西區開山路245號,22.98603826,120.2101292
頂美,台南市中西區西和路1號3號,22.99924126,120.1876897
喜樹,台南市南區喜東里10鄰明興路732號,22.94052706,120.1814424
詠文,台南市永康區網寮里6鄰永二街202號,23.01588727,120.2522801
八甲,台南市歸仁區八甲里中正北路一段194號,22.97415765,120.2959361
後壁,台南市後壁區後壁里後壁71號,23.36595481,120.3608942
永正,台南市永康區永康里中山南路537號,23.02392663,120.2528562
七股,台南市七股區七股里14鄰154-1號,23.13204,120.13015
體育,台南市中西區健康路166號,23.314797,120.3122985
精工,台南市永康區中正北路735號,23.046574,120.2625711
保正,台南市仁德區中正路一段529號,22.93778641,120.247884
公道,台南市南區夏林路1-16號,22.98626986,120.1949984
城中,台南市安南區安中路六段599號601號,23.06231947,120.1297995
好萊富,台南市新營區南紙里太子路191號,23.30112902,120.294244
清新,台南市新化區武安里中正路321號,23.0328164,120.3086209
庭園,台南市永康區埔園里龍國街77號,23.03255444,120.2600336
祥安,台南市安南區大安街60號,23.03132498,120.1919393
安富,台南市安南區安富街343號,23.02610492,120.1934048
本安,台南市安南區淵東里安中路三段360號1樓,23.04894984,120.1756381
長榮,台南市東區長榮路三段139號,22.99584707,120.2218588
東敬,台南市東區莊敬路90號,22.9947632,120.2328391
逢安,台南市安南區海西里海中街73號,23.03992918,120.1843061
南鯤鯓,台南市北門區鯤江里841-1號,23.27970449,120.1280599
詠信,台南市永康區復華七街68號,23.0143987,120.2466169
永大春,台南市永康區中山北路431號,23.02927643,120.2683893
南藝,台南市官田區大崎里66號,23.18081,120.39851
安新,台南市安南區長溪路三段399號1樓,23.06810504,120.1963326
埔園,台南市永康區中山路90號,23.02851441,120.2566164
同發,台南市安平區安北路170-3號1樓,23.00289938,120.1610472
六發,台南市歸仁區六甲里中正南路一段1020號,22.95302316,120.2793692
鹽行,台南市永康區鹽洲里鹽洲二街83號,23.04310668,120.2347991
麻新,台南市麻豆區中正路289號,23.18951674,120.2529912
蓮營,台南市後壁區福安里200號,23.3253,120.35345
